[2024-06-06 01:20:27,184: INFO: main: Hello World!]
[2024-06-06 09:49:27,972: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:49:27,975: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:49:27,976: INFO: common: created directory at: artifacts]
[2024-06-06 09:49:27,977: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 09:49:27,978: ERROR: 3847781354: Data Ingestion failed: DataIngestionConfig.__init__() got an unexpected keyword argument 'root_dir']
[2024-06-06 09:49:58,361: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:49:58,365: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:49:58,366: INFO: common: created directory at: artifacts]
[2024-06-06 09:49:58,366: ERROR: 2867120289: Data Ingestion failed: name 'config' is not defined]
[2024-06-06 09:50:35,309: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:50:35,311: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:50:35,313: INFO: common: created directory at: artifacts]
[2024-06-06 09:50:35,314: ERROR: 3043684835: Data Ingestion failed: name 'config' is not defined]
[2024-06-06 09:50:50,885: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:50:50,887: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:50:50,888: INFO: common: created directory at: artifacts]
[2024-06-06 09:50:50,889: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 09:52:53,073: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:52:53,075: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:52:53,077: INFO: common: created directory at: artifacts]
[2024-06-06 09:52:53,078: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 09:55:47,704: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:55:47,706: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:55:47,707: INFO: common: created directory at: artifacts]
[2024-06-06 09:55:47,708: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 09:57:41,838: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 09:57:41,840: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 09:57:41,841: INFO: common: created directory at: artifacts]
[2024-06-06 09:57:41,842: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 09:57:41,843: INFO: 1417098231: Downloading data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 09:57:45,885: INFO: 1417098231: Downloaded data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 10:10:30,980: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage started <<<<<<]
[2024-06-06 10:10:30,981: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 10:10:30,982: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 10:10:30,982: INFO: common: created directory at: artifacts]
[2024-06-06 10:10:30,983: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 10:10:30,983: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 10:10:34,700: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 10:10:38,686: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage completed <<<<<<

x===========================x
]
[2024-06-06 11:05:15,134: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:05:15,136: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:05:15,137: INFO: common: created directory at: artifacts]
[2024-06-06 11:05:15,138: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:06:39,329: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:06:39,331: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:06:39,332: INFO: common: created directory at: artifacts]
[2024-06-06 11:06:39,332: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:07:17,316: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:07:17,318: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:07:17,318: INFO: common: created directory at: artifacts]
[2024-06-06 11:07:17,319: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:09:20,952: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:09:20,954: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:09:20,954: INFO: common: created directory at: artifacts]
[2024-06-06 11:09:20,955: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:20:33,102: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:20:33,112: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:20:33,113: INFO: common: created directory at: artifacts]
[2024-06-06 11:20:33,114: INFO: common: created directory at: artifacts/prepare_base_model]
